Model,Chart Location,Tab,Tab Name,Session,Chart,Strategy,Account,Start Time,End Time,Template Name,Test Mode / Lane,Leader Instrument,Required Strategy Class,Required HUD / Messenger,Required Chart Indicators,Required Exporters,Required Background Processes,Required Output Files,Account/Logger Requirement,Preflight Check,EOD Check,Notes
V3C,Top left,2,Expansion B 60,RTH,Uni 60-120-180,V3_Expansion_Rider_V3C,SimV3C-NQ-1B,,,NQ Clean 60-120-180,V3C Expansion lane 1B,NQ primary; ES parallel only when ES test tabs are active,V3_Expansion_Rider_V3C,RegimeMatrixHUD_V3C on NQ leader chart; ES leader chart when ES tests are active; DataFolderPath=C:\Users\Valued Customer\NT8_Regimes\V3C,LiveDataExporter NQ/ES; ValueAreaExporter NQ/ES; OrderFlowSetupScanner NQ/ES; HUDMessenger/HUDMessengerV1B compiled,NQ_1min_export.txt; ES_1min_export.txt; ValueArea_NQ.csv; ValueArea_ES.csv; Active\Footprint_Export.csv,V3C_START.bat; Start_V3C_ModelFeed_Watchdog.bat; Start_RegimeMatrixSupervisor.bat,V3C\NQ_Regimes_V3C_Latest.csv; V3C\ES_Regimes_V3C_Latest.csv; V3C\TradeLog; UNIFIED\AllModels_TradeLog_YYYYMMDD.csv after EOD,Use V3C strategy/export logging only; confirm model_version=V3C/Anchored_HMM_V3C and never V3D for these accounts,V3C watchdog and supervisor open; HUD fresh; strategy can see InstancesV3C; account/template matches registry row,Confirm V3C trade rows are stamped V3C and included in unified export under the correct account,V3C rows must stay V3C-stamped in unified logs; do not reuse a V3D logger/template.
V3C,Top Middle,1,Compression Sniper A,RTH,Uni 20-40-60,NQ VC3-A Compression Fast,SimV3C-NQ-2A,,,NQ VC3-A Compression Fast 20-40-60,V3C Compression/Sniper lane 2A,NQ primary; ES parallel only when ES test tabs are active,V3_Compression_Sniper_V3C,RegimeMatrixHUD_V3C on NQ leader chart; ES leader chart when ES tests are active; DataFolderPath=C:\Users\Valued Customer\NT8_Regimes\V3C,LiveDataExporter NQ/ES; ValueAreaExporter NQ/ES; OrderFlowSetupScanner NQ/ES; HUDMessenger/HUDMessengerV1B compiled,NQ_1min_export.txt; ES_1min_export.txt; ValueArea_NQ.csv; ValueArea_ES.csv; Active\Footprint_Export.csv,V3C_START.bat; Start_V3C_ModelFeed_Watchdog.bat; Start_RegimeMatrixSupervisor.bat,V3C\NQ_Regimes_V3C_Latest.csv; V3C\ES_Regimes_V3C_Latest.csv; V3C\TradeLog; UNIFIED\AllModels_TradeLog_YYYYMMDD.csv after EOD,Use V3C strategy/export logging only; confirm model_version=V3C/Anchored_HMM_V3C and never V3D for these accounts,V3C watchdog and supervisor open; HUD fresh; strategy can see InstancesV3C; account/template matches registry row,Confirm V3C trade rows are stamped V3C and included in unified export under the correct account,V3C rows must stay V3C-stamped in unified logs; do not reuse a V3D logger/template.
V3C,Top Middle,2,Compression Sniper B,RTH,Uni 16-32-48,NQ V3C Compression Clean B,SimV3C-NQ-2B,,,NQ V3C Compression Clean B 16-32-48,V3C Compression/Sniper lane 2B,NQ primary; ES parallel only when ES test tabs are active,V3_Compression_Sniper_V3C,RegimeMatrixHUD_V3C on NQ leader chart; ES leader chart when ES tests are active; DataFolderPath=C:\Users\Valued Customer\NT8_Regimes\V3C,LiveDataExporter NQ/ES; ValueAreaExporter NQ/ES; OrderFlowSetupScanner NQ/ES; HUDMessenger/HUDMessengerV1B compiled,NQ_1min_export.txt; ES_1min_export.txt; ValueArea_NQ.csv; ValueArea_ES.csv; Active\Footprint_Export.csv,V3C_START.bat; Start_V3C_ModelFeed_Watchdog.bat; Start_RegimeMatrixSupervisor.bat,V3C\NQ_Regimes_V3C_Latest.csv; V3C\ES_Regimes_V3C_Latest.csv; V3C\TradeLog; UNIFIED\AllModels_TradeLog_YYYYMMDD.csv after EOD,Use V3C strategy/export logging only; confirm model_version=V3C/Anchored_HMM_V3C and never V3D for these accounts,V3C watchdog and supervisor open; HUD fresh; strategy can see InstancesV3C; account/template matches registry row,Confirm V3C trade rows are stamped V3C and included in unified export under the correct account,V3C rows must stay V3C-stamped in unified logs; do not reuse a V3D logger/template.
V3C,Top Middle,3,Compression Sniper C 20-40-60,RTH,Uni 20-40-60,V3_Compression_Sniper_V3C,SimV3C-NQ-2C,,,NQ VC3-A Compression Fast 20-40-60,V3C Compression/Sniper lane 2C,NQ primary; ES parallel only when ES test tabs are active,V3_Compression_Sniper_V3C,RegimeMatrixHUD_V3C on NQ leader chart; ES leader chart when ES tests are active; DataFolderPath=C:\Users\Valued Customer\NT8_Regimes\V3C,LiveDataExporter NQ/ES; ValueAreaExporter NQ/ES; OrderFlowSetupScanner NQ/ES; HUDMessenger/HUDMessengerV1B compiled,NQ_1min_export.txt; ES_1min_export.txt; ValueArea_NQ.csv; ValueArea_ES.csv; Active\Footprint_Export.csv,V3C_START.bat; Start_V3C_ModelFeed_Watchdog.bat; Start_RegimeMatrixSupervisor.bat,V3C\NQ_Regimes_V3C_Latest.csv; V3C\ES_Regimes_V3C_Latest.csv; V3C\TradeLog; UNIFIED\AllModels_TradeLog_YYYYMMDD.csv after EOD,Use V3C strategy/export logging only; confirm model_version=V3C/Anchored_HMM_V3C and never V3D for these accounts,V3C watchdog and supervisor open; HUD fresh; strategy can see InstancesV3C; account/template matches registry row,Confirm V3C trade rows are stamped V3C and included in unified export under the correct account,V3C rows must stay V3C-stamped in unified logs; do not reuse a V3D logger/template.
V3C,Top Right,1,Value Fader A,RTH,5 min candle,V3_Value_Fader,SimV3C-NQ-3A,,,Value Fader A 5m,V3C Value Fader lane 3A,NQ primary; ES parallel only when ES test tabs are active,V3_Value_Fader or V3_Value_Fader_V3C per template,RegimeMatrixHUD_V3C on NQ leader chart; ES leader chart when ES tests are active; DataFolderPath=C:\Users\Valued Customer\NT8_Regimes\V3C,LiveDataExporter NQ/ES; ValueAreaExporter NQ/ES; OrderFlowSetupScanner NQ/ES; HUDMessenger/HUDMessengerV1B compiled,NQ_1min_export.txt; ES_1min_export.txt; ValueArea_NQ.csv; ValueArea_ES.csv; Active\Footprint_Export.csv,V3C_START.bat; Start_V3C_ModelFeed_Watchdog.bat; Start_RegimeMatrixSupervisor.bat,V3C\NQ_Regimes_V3C_Latest.csv; V3C\ES_Regimes_V3C_Latest.csv; V3C\TradeLog; UNIFIED\AllModels_TradeLog_YYYYMMDD.csv after EOD,Use V3C strategy/export logging only; confirm model_version=V3C/Anchored_HMM_V3C and never V3D for these accounts,V3C watchdog and supervisor open; HUD fresh; strategy can see InstancesV3C; account/template matches registry row,Confirm V3C trade rows are stamped V3C and included in unified export under the correct account,V3C rows must stay V3C-stamped in unified logs; do not reuse a V3D logger/template.
V3C,Top Right,2,Value Fader B,RTH,3 min candle,V3_Value_Fader_V3C 3m,SimV3C-NQ-3B,,,Value Fader B 3m,V3C Value Fader lane 3B,NQ primary; ES parallel only when ES test tabs are active,V3_Value_Fader_V3C,RegimeMatrixHUD_V3C on NQ leader chart; ES leader chart when ES tests are active; DataFolderPath=C:\Users\Valued Customer\NT8_Regimes\V3C,LiveDataExporter NQ/ES; ValueAreaExporter NQ/ES; OrderFlowSetupScanner NQ/ES; HUDMessenger/HUDMessengerV1B compiled,NQ_1min_export.txt; ES_1min_export.txt; ValueArea_NQ.csv; ValueArea_ES.csv; Active\Footprint_Export.csv,V3C_START.bat; Start_V3C_ModelFeed_Watchdog.bat; Start_RegimeMatrixSupervisor.bat,V3C\NQ_Regimes_V3C_Latest.csv; V3C\ES_Regimes_V3C_Latest.csv; V3C\TradeLog; UNIFIED\AllModels_TradeLog_YYYYMMDD.csv after EOD,Use V3C strategy/export logging only; confirm model_version=V3C/Anchored_HMM_V3C and never V3D for these accounts,V3C watchdog and supervisor open; HUD fresh; strategy can see InstancesV3C; account/template matches registry row,Confirm V3C trade rows are stamped V3C and included in unified export under the correct account,V3C rows must stay V3C-stamped in unified logs; do not reuse a V3D logger/template.
V3C,Bottom Left,1,Momentum Slope A,RTH,5 min candle,Momo_V3C,SimV3C-NQ-4A,,,Momo 5M Hysteresis,V3C Momentum lane 4A,NQ primary; ES parallel only when ES test tabs are active,Momo_V3C,RegimeMatrixHUD_V3C on NQ leader chart; ES leader chart when ES tests are active; DataFolderPath=C:\Users\Valued Customer\NT8_Regimes\V3C,LiveDataExporter NQ/ES; ValueAreaExporter NQ/ES; OrderFlowSetupScanner NQ/ES; HUDMessenger/HUDMessengerV1B compiled,NQ_1min_export.txt; ES_1min_export.txt; ValueArea_NQ.csv; ValueArea_ES.csv; Active\Footprint_Export.csv,V3C_START.bat; Start_V3C_ModelFeed_Watchdog.bat; Start_RegimeMatrixSupervisor.bat,V3C\NQ_Regimes_V3C_Latest.csv; V3C\ES_Regimes_V3C_Latest.csv; V3C\TradeLog; UNIFIED\AllModels_TradeLog_YYYYMMDD.csv after EOD,Use V3C strategy/export logging only; confirm model_version=V3C/Anchored_HMM_V3C and never V3D for these accounts,V3C watchdog and supervisor open; HUD fresh; strategy can see InstancesV3C; account/template matches registry row,Confirm V3C trade rows are stamped V3C and included in unified export under the correct account,V3C rows must stay V3C-stamped in unified logs; do not reuse a V3D logger/template.
V3C,Bottom Left,2,Momentum Slope B,RTH,5 min candle,Momo_V3C,SimV3C-NQ-4B,,,Momo 5m Simple,V3C Momentum lane 4B,NQ primary; ES parallel only when ES test tabs are active,Momo_V3C,RegimeMatrixHUD_V3C on NQ leader chart; ES leader chart when ES tests are active; DataFolderPath=C:\Users\Valued Customer\NT8_Regimes\V3C,LiveDataExporter NQ/ES; ValueAreaExporter NQ/ES; OrderFlowSetupScanner NQ/ES; HUDMessenger/HUDMessengerV1B compiled,NQ_1min_export.txt; ES_1min_export.txt; ValueArea_NQ.csv; ValueArea_ES.csv; Active\Footprint_Export.csv,V3C_START.bat; Start_V3C_ModelFeed_Watchdog.bat; Start_RegimeMatrixSupervisor.bat,V3C\NQ_Regimes_V3C_Latest.csv; V3C\ES_Regimes_V3C_Latest.csv; V3C\TradeLog; UNIFIED\AllModels_TradeLog_YYYYMMDD.csv after EOD,Use V3C strategy/export logging only; confirm model_version=V3C/Anchored_HMM_V3C and never V3D for these accounts,V3C watchdog and supervisor open; HUD fresh; strategy can see InstancesV3C; account/template matches registry row,Confirm V3C trade rows are stamped V3C and included in unified export under the correct account,V3C rows must stay V3C-stamped in unified logs; do not reuse a V3D logger/template.
V3C,Bottom Middle,1,Momo 1mHA OG,RTH,1 min Heiken Ashi,MomentumSlopeStrategy v1.2,SimMomo1,,,--- Momentum OG 1m HEIKEN ASHI,V3C Momentum lane SimMomo1,NQ primary; ES parallel only when ES test tabs are active,MomentumSlopeStrategy,RegimeMatrixHUD_V3C on NQ leader chart; ES leader chart when ES tests are active; DataFolderPath=C:\Users\Valued Customer\NT8_Regimes\V3C,LiveDataExporter NQ/ES; ValueAreaExporter NQ/ES; OrderFlowSetupScanner NQ/ES; HUDMessenger/HUDMessengerV1B compiled,NQ_1min_export.txt; ES_1min_export.txt; ValueArea_NQ.csv; ValueArea_ES.csv; Active\Footprint_Export.csv,V3C_START.bat; Start_V3C_ModelFeed_Watchdog.bat; Start_RegimeMatrixSupervisor.bat,V3C\NQ_Regimes_V3C_Latest.csv; V3C\ES_Regimes_V3C_Latest.csv; V3C\TradeLog; UNIFIED\AllModels_TradeLog_YYYYMMDD.csv after EOD,Use V3C strategy/export logging only; confirm model_version=V3C/Anchored_HMM_V3C and never V3D for these accounts,V3C watchdog and supervisor open; HUD fresh; strategy can see InstancesV3C; account/template matches registry row,Confirm V3C trade rows are stamped V3C and included in unified export under the correct account,V3C rows must stay V3C-stamped in unified logs; do not reuse a V3D logger/template.
V3C,Bottom Middle,2,Momo 5mHA OG,RTH,5 min Heiken Ashi,MomentumSlopeStrategy v1.3,SimMomo2,,,NQ.5m.Momov1.2.RTHV1001,V3C Momentum lane SimMomo2,NQ primary; ES parallel only when ES test tabs are active,MomentumSlopeStrategy,RegimeMatrixHUD_V3C on NQ leader chart; ES leader chart when ES tests are active; DataFolderPath=C:\Users\Valued Customer\NT8_Regimes\V3C,LiveDataExporter NQ/ES; ValueAreaExporter NQ/ES; OrderFlowSetupScanner NQ/ES; HUDMessenger/HUDMessengerV1B compiled,NQ_1min_export.txt; ES_1min_export.txt; ValueArea_NQ.csv; ValueArea_ES.csv; Active\Footprint_Export.csv,V3C_START.bat; Start_V3C_ModelFeed_Watchdog.bat; Start_RegimeMatrixSupervisor.bat,V3C\NQ_Regimes_V3C_Latest.csv; V3C\ES_Regimes_V3C_Latest.csv; V3C\TradeLog; UNIFIED\AllModels_TradeLog_YYYYMMDD.csv after EOD,Use V3C strategy/export logging only; confirm model_version=V3C/Anchored_HMM_V3C and never V3D for these accounts,V3C watchdog and supervisor open; HUD fresh; strategy can see InstancesV3C; account/template matches registry row,Confirm V3C trade rows are stamped V3C and included in unified export under the correct account,V3C rows must stay V3C-stamped in unified logs; do not reuse a V3D logger/template.
V3C,Bottom Right,1,ADX 5m Trinity OFF,RTH,5 min candle,ADX_DI_V3C,SimV3C-NQ-5A,,,NQ.ADX.DI.5m.V3C - 5A,V3C ADX lane 5A,NQ primary; ES parallel only when ES test tabs are active,ADX_DI_V3C,RegimeMatrixHUD_V3C on NQ leader chart; ES leader chart when ES tests are active; DataFolderPath=C:\Users\Valued Customer\NT8_Regimes\V3C,LiveDataExporter NQ/ES; ValueAreaExporter NQ/ES; OrderFlowSetupScanner NQ/ES; HUDMessenger/HUDMessengerV1B compiled,NQ_1min_export.txt; ES_1min_export.txt; ValueArea_NQ.csv; ValueArea_ES.csv; Active\Footprint_Export.csv,V3C_START.bat; Start_V3C_ModelFeed_Watchdog.bat; Start_RegimeMatrixSupervisor.bat,V3C\NQ_Regimes_V3C_Latest.csv; V3C\ES_Regimes_V3C_Latest.csv; V3C\TradeLog; UNIFIED\AllModels_TradeLog_YYYYMMDD.csv after EOD,Use V3C strategy/export logging only; confirm model_version=V3C/Anchored_HMM_V3C and never V3D for these accounts,V3C watchdog and supervisor open; HUD fresh; strategy can see InstancesV3C; account/template matches registry row,Confirm V3C trade rows are stamped V3C and included in unified export under the correct account,V3C rows must stay V3C-stamped in unified logs; do not reuse a V3D logger/template.
V3C,Bottom Right,2,ADX 5m Trinity ON,RTH,5 min candle,ADX_DI_V3C,SimV3C-NQ-5B,,,NQ.ADX.DI.5m.V3C - 5B Trinitiy ON,V3C ADX lane 5B,NQ primary; ES parallel only when ES test tabs are active,ADX_DI_V3C,RegimeMatrixHUD_V3C on NQ leader chart; ES leader chart when ES tests are active; DataFolderPath=C:\Users\Valued Customer\NT8_Regimes\V3C,LiveDataExporter NQ/ES; ValueAreaExporter NQ/ES; OrderFlowSetupScanner NQ/ES; HUDMessenger/HUDMessengerV1B compiled,NQ_1min_export.txt; ES_1min_export.txt; ValueArea_NQ.csv; ValueArea_ES.csv; Active\Footprint_Export.csv,V3C_START.bat; Start_V3C_ModelFeed_Watchdog.bat; Start_RegimeMatrixSupervisor.bat,V3C\NQ_Regimes_V3C_Latest.csv; V3C\ES_Regimes_V3C_Latest.csv; V3C\TradeLog; UNIFIED\AllModels_TradeLog_YYYYMMDD.csv after EOD,Use V3C strategy/export logging only; confirm model_version=V3C/Anchored_HMM_V3C and never V3D for these accounts,V3C watchdog and supervisor open; HUD fresh; strategy can see InstancesV3C; account/template matches registry row,Confirm V3C trade rows are stamped V3C and included in unified export under the correct account,V3C rows must stay V3C-stamped in unified logs; do not reuse a V3D logger/template.
